Gene,gene_symbol
ARMC3,ARMC3
CRIM1,CRIM1
FGF11,FGF11
ITPKA,ITPKA
LRRC8D,LRRC8D
MYO9B,MYO9B
NAV1,NAV1
PLEKHA6,PLEKHA6
PPM1L,PPM1L
PRTFDC1,PRTFDC1
RHOBTB3,RHOBTB3
SLC35C1,SLC35C1
SMOC1,SMOC1
ST8SIA4,ST8SIA4
TMEM115,TMEM115
UMODL1,UMODL1
VPS37C,VPS37C
ZBTB46,ZBTB46
CLASP2,CLASP2
SEPT9,SEPTIN9
SYNGAP1 ,SYNGAP1 
LURAP1,LURAP1
POMGNT1 ,POMGNT1 
